Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,convertor
0,626665873,0.034528,0.095808,,,,,,,,,,,
1,627672591,0.04128,0.017408,0.049728,0.055583,,,,,,,,,
2,628075598,0.028416,0.04384,,0.036096,,,,,,,,,
3,628322669,0.024768,0.038752,,0.034464,,,,,,,,,
4,628475725,0.022976,0.03968,,0.025472,,,,,,,,,
5,628592108,0.031616,0.036479,,0.02384,,,,,,,,,
6,628722924,0.074592,0.032352,,0.022752,,,,,,,,,
7,632575811,0.037472,0.09744,,0.038688,,,,,,,,,
8,632941570,0.03072,0.046848,,0.031872,,,,,,,,,
9,633136482,0.029312,0.073376,,0.032032,,,,,,,,,
10,633297697,0.028704,0.054624,,0.030144,,,,,,,,,
11,633459745,0.03328,0.061024,,0.030272,,,,,,,,,
12,633619776,0.031392,0.051424,,0.032703,,,,,,,,,
13,633764896,0.038464,0.037664,,0.030144,,,,,,,,,
14,633964544,0.034592,0.044288,,0.044352,,,,,,,,,
15,634251519,0.031744,0.060128,,0.034272,,,,,,,,,
16,634413343,0.031744,0.039296,,0.041696,,,,,,,,,
17,634580126,0.031648,0.057536,,0.030656,,,,,,,,,
18,634742014,0.031872,0.039584,,0.030048,,,,,,,,,
19,634896637,0.031616,0.038783,,0.029632,,,,,,,,,
20,635059165,0.033408,0.049056,,0.0312,6.342321,,,,,,,,
21,635242301,0.041856,0.056704,7.576302,0.034912,,0.05056,,,,,,,
22,635391132,0.032576,0.040288,,0.033216,0.041824,,,,,,,,
23,635541596,0.03616,0.041408,7.465998,0.033472,0.052192,0.043936,,,,,,,
24,635766523,0.037728,0.056415,7.444078,0.032448,0.044736,0.049376,,,,,,,
25,635943387,0.036096,0.04688,7.486638,0.031744,0.038336,0.046048,,,,,,,
26,636133274,0.037504,0.038848,7.545134,0.044863,0.036448,0.036704,,,,,,,
27,636293210,0.085344,0.051808,7.589934,0.04128,,0.249439,,,,,,,
28,636603673,0.04208,0.04832,,0.304159,0.041376,,,,,,,,
29,636748153,0.03296,0.044,4.172342,0.0344,0.041344,0.059552,,,,,,,
30,637019352,0.05328,0.049632,4.075318,0.035392,,0.072352,,,,,,,
31,637131416,0.046432,0.054688,4.11119,0.03664,0.042176,0.037056,,,,,,,
32,637320952,0.036032,0.045312,4.137686,0.03568,0.036224,0.044672,,,,,,,
33,637518455,0.03552,0.045216,4.176758,0.036448,0.0384,0.036832,,,,,,,
34,637711447,,,4.189014,0.036608,0.038112,0.036128,,,,,,,
35,637989398,,,4.224502,,0.041216,0.035168,,,,,,,
36,638152630,,,4.188086,,0.040896,0.035168,,,,,,,
37,638341493,,,4.089974,,0.032991,0.037152,,,,,,,
38,638540885,,,4.127542,,0.034528,0.038336,,,,,,,
39,638700596,,,4.12047,,0.0344,0.034816,,,,,,,
40,638856404,,,4.11439,,0.03328,0.04464,,,,,,,
41,639031764,,,4.135127,,0.041056,0.034847,,,,,,,
42,639185203,,,4.126038,,0.033824,0.03456,,,,,,,
43,639345139,,,4.102838,,0.033408,0.035296,,,,,,,
44,639498066,,,4.091478,,0.032416,0.039104,,,,,,,
45,639672146,,,4.110134,,0.03312,0.037568,,,,,,,
46,639845554,,,4.079031,,0.034496,0.043295,,,,,,,
47,640008817,,,4.06543,,0.034048,0.034432,,,,,,,
48,640176305,,,4.043031,,0.042752,0.035328,,,,,,,
49,640335728,,,4.020566,,0.032608,0.0352,,,,,,,
50,640495216,,,3.746359,,0.040288,0.034528,,,,,,,
51,640653328,,,3.740119,,0.03232,0.035072,,,,,,,
52,640816047,,,3.710423,,0.039967,0.041376,,,,,,,
53,640995503,0.147999,0.158624,,0.07952,0.033792,,0.104288,,,,,,
54,670588872,0.078847,0.09696,,0.067232,,,,,,,,,
55,670897415,0.064256,0.078495,,0.060384,,,,,,,,,
56,676418490,0.084928,0.100383,,0.103808,,,,,,,,,
57,676823065,0.066048,0.103423,,0.064032,,,,,,,,,
58,677190040,0.08128,0.083615,,0.08704,,,,,,,,,
59,691831734,0.098528,0.108704,,0.067967,,,,,,,,,
60,692164053,0.064128,0.08096,,0.063552,,,,,,,,,
61,692526292,0.064736,0.081216,,0.060096,,,,60.916334,0.167552,,,,
62,713495810,0.079008,0.090432,,0.035008,,,,,,,,,
63,713680417,0.052448,0.038303,,0.02816,,,,,,,,,
64,713894753,0.03072,0.054528,,0.030176,,,,,,,,,
65,714470560,0.029568,0.047264,,0.029279,,,,,,,,,
66,714626751,0.028384,0.055104,,0.030272,,,,,,,,,
67,721462671,0.052768,0.064928,,0.035392,,,,,,,,,
68,721665806,0.035775,0.04256,,0.033856,,,,,,,,,
69,722250221,0.035712,0.052544,,0.032992,,,,,,,,,
70,722414221,0.033024,0.050848,,0.033087,,,,,,,,,
71,723163211,0.037152,0.060384,,0.052416,,,,,,,,,
72,723354506,0.034367,0.042784,,0.033376,,,,,,,,,
73,723694698,0.044288,0.043648,,0.034431,,,,,,,,,
74,723862217,0.033472,0.052096,,0.034144,,,,,,,,,
75,724036201,0.035232,0.041952,,0.033696,,,,,,,,,
76,725504677,0.039872,0.055584,,0.053792,,,,,,,,,
77,726679458,0.038944,0.063359,,0.038464,,,,,,,,,
78,734867535,0.086944,0.135712,,0.044832,,,,,,,,,
79,735079854,0.042463,0.05312,,0.040544,,,,,,,,,
80,735284462,0.041248,0.051776,,0.056224,,,,,,,,,
81,735494413,0.040991,0.050752,,0.040992,,,,,,,,,
82,736052940,0.047552,0.073888,,0.043392,,,,,,,,,
83,736267596,0.057664,0.053088,,0.040415,,,,,,,,,
84,736470027,0.0416,0.063136,,0.061536,,,,,,,,,
85,736700394,0.04112,0.066015,,0.053376,,,,,,,,,
86,736913034,0.041856,0.050528,,0.040192,,,,,,,,,
87,737146729,0.042624,0.059359,,0.057856,,,,,,,,,
88,737373865,0.041056,0.065152,,0.055616,,,,,,,,,
89,737599368,0.042591,0.052128,,0.04128,,,,,,,,,
90,737802568,0.05328,0.051296,,0.040416,,,,,,,,,
91,738010087,0.042975,0.053024,,0.040032,,,,,,,,,
92,738219399,0.040864,0.070656,,0.043648,,,,,,,,,
93,738446118,0.044959,0.053024,,0.041152,,,,,,,,,
94,738668646,0.043232,0.07504,,0.044032,,,,,,,,,
95,738889509,0.043775,0.06832,,0.043008,,,,,,,,,
96,750595081,0.11008,0.127263,,0.11312,,,,,,,,,
97,750977800,0.0816,0.075583,,0.057696,,,,,,,,,
98,751289576,0.056352,0.114176,,0.061888,,,,,,,,,
99,752329701,0.123488,0.172319,,0.079328,,,,,,,,,
100,752717156,0.068127,0.086112,,0.10752,,,,,,,,,
101,753136131,0.113823,0.088928,,0.062656,,,,,,,,,
102,774086545,0.10544,0.157791,,0.073984,,,,,,,,,
103,774460880,0.06608,0.108159,,0.101728,,,,,,,,,
104,774836239,0.068064,0.103295,,0.072448,,,,,,,,,
105,783826650,0.081695,0.118304,,0.068576,,,,,,,,,
106,784566200,0.077248,0.096191,,0.06912,,,,,,,,,
107,784897975,0.086624,0.082559,,0.066304,,,,,,,,,
108,785249079,0.067776,0.100384,,0.087231,,,,,,,,,
109,785610998,0.067616,0.081344,,0.061376,,,,,,,,,
110,785968757,0.066336,0.106784,,0.065952,,,,,,,,,
111,786274932,0.065695,0.08432,,0.087232,,,,,,,,,
112,786606419,0.065408,0.080959,,0.088192,,,,,,,,,
113,786961811,0.06592,0.110304,,0.064543,,,,,,,,,
114,787294226,0.063808,0.11568,,0.067488,,,,,,,,,
115,787596401,0.06496,0.079648,,0.062304,,,,,,,,,
116,787941424,0.067679,0.083616,,0.0696,,,,,,,,,
117,788279983,0.064288,0.080831,,0.063648,,,,,,,,,
118,788605135,0.06496,0.082272,,0.062751,,,,,,,,,
119,788912174,0.062144,0.095296,,0.114528,,,,,,,,,
120,789306413,0.066208,0.104704,,0.095424,,,,,,,,,
121,789660012,0.06576,0.080416,,0.063136,,,,,,,,,
122,789971339,0.06336,0.098655,,0.061472,,,,,,,,,
123,790280395,0.064064,0.096864,,0.063967,,,,,,,,,
124,790605930,0.065792,0.079264,,0.08896,,,,,,,,,
125,790969449,0.066048,0.096096,,0.064512,,,,,,,,,
126,791280936,0.066111,0.074208,,0.057504,,,,,,,,,
127,791572488,0.06528,0.09072,,0.056671,,,,,,,,,
128,791855751,0.060096,0.086784,,0.061504,,,,,,,,,
129,792148902,0.061823,0.073888,,0.057024,,,,,,,,,
130,792447429,0.059296,0.104831,,0.059456,,,,,,,,,
131,792771877,0.063008,0.075456,,0.058432,,,,,,,,,
132,793069636,0.060352,0.098048,,0.083008,,,,,,,,,
133,793387843,0.075071,0.073888,,0.057088,,,,,,,,,
134,793683395,0.060192,0.09888,,0.060703,,,,,,,,,
135,794001858,0.064672,0.103552,172.145093,0.088384,0.065471,0.117984,,,,,,,
136,809849276,,,172.294053,,0.052256,0.059168,,,,,,,
137,810100251,,,172.3569,,0.051616,0.057888,0.051616,0.238656,0.295231,,,,
138,811005433,,,140.958543,,0.055584,0.07024,,,,,,,
139,811371064,,,140.632081,,0.057312,0.082879,,,,,,,
140,811621112,,,140.608337,,0.0528,0.054976,0.070911,0.215296,0.040576,,,,
141,812224598,,,135.64134,,0.054976,0.06096,,,,,,,
142,812475894,,,135.533437,,0.052352,0.05536,,,,,,,
143,812720341,0.12656,,135.389437,,0.064512,0.053824,0.06304,0.253759,0.05248,,,,
144,813359060,,0.131904,121.434591,0.080895,0.061472,0.064255,,,,,,,
145,813702547,,,121.412734,,0.058688,0.062208,,,,,,,
146,813986578,0.083936,0.148576,121.340158,0.083648,0.055776,0.060032,0.12224,0.257023,0.044512,,,,
147,814544753,0.07008,0.10912,101.116558,0.069792,0.059296,0.066912,,,,,,,
