Frame,ts,rtpsession0,rtpstorage0,rtpssrcdemux0,rtpjitterbuffer0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
0,735081153,0.029696,0.103423,,,,,,,,,,,,
1,736447773,0.053344,0.01696,0.08,0.103264,,,,,,,,,,
2,736853915,0.041728,0.097696,0.053183,,,,,,,,,,,
3,737192410,0.0384,0.073664,0.037023,,,,,,,,,,,
4,737502490,0.03392,0.048768,0.037664,,,,,,,,,,,
5,737673433,0.03184,0.040288,0.031904,,,,,,,,,,,
6,737824793,0.033728,0.040192,0.031328,,,,,,,,,,,
7,737990392,0.036575,0.044512,0.03296,,,,,,,,,,,
8,738285527,0.034272,0.049024,0.03632,,,,,,,,,,,
9,738474711,0.034144,0.059168,0.03312,,,,,,,,,,,
10,738740598,0.035744,0.055936,0.032384,,,,,,,,,,,
11,738899413,0.03104,0.041855,0.031296,,,,,,,,,,,
12,739054261,0.030016,0.047808,0.030496,,,,,,,,,,,
13,739208436,0.031712,0.047104,0.030495,,,,,,,,,,,
14,739381652,0.05392,0.038752,0.043968,,,,,,,,,,,
15,739588147,0.035808,0.053887,0.037856,,,,,,,,,,,
16,739767379,0.035008,0.045344,0.03408,,,,,,,,,,,
17,739949138,0.036672,0.062431,0.0352,,,,,,,,,,,
18,740134994,0.035775,0.048288,0.037024,,,,,,,,,,,
19,740313873,0.035104,0.043104,0.0472,,,,,,,,,,,
20,740488209,0.036064,0.0528,0.033824,,,,,,,,,,,
21,740673904,0.035616,0.048928,0.033344,,,,,,,,,,,
22,740844720,0.03424,0.040608,0.032128,,,,,,,,,,,
23,741014223,0.03504,0.043136,0.032608,,,,,,,,,,,
24,741189967,0.034688,0.060384,0.033056,,,,,,,,,,,
25,741379182,0.036224,0.056128,0.047712,,,,,,,,,,,
26,741559533,0.044576,0.044736,0.034751,,,,,,,,,,,
27,741736525,0.037216,0.045472,0.03408,,,,,,,,,,,
28,741931084,0.035648,0.043647,0.033024,,,,,,,,,,,
29,742117164,0.039744,0.054528,0.043328,,,,,,,,,,,
30,742443819,0.040704,0.059232,0.04032,,,,,,,,,,,
31,742655594,0.037984,0.063743,0.037312,,,,,,,,,,,
32,742825898,0.041952,0.046784,0.03392,,,,,,,,,,,
33,743147945,0.041152,0.053984,0.046528,,,,,,,,,,,
34,743459656,0.078624,0.053312,0.045056,,,,,,,,,,,
35,743800295,0.128032,0.056032,0.045152,,,,,,,,,,,
36,744021670,0.060576,0.054112,0.143775,,,,,,,,,,,
37,744226246,0.037856,0.046495,0.038592,,,,,,,,,,,
38,744398341,0.034944,0.059776,0.03552,,,,,,,,,,,
39,744579461,0.03648,0.044063,0.03408,,,,,,,,,,,
40,744769796,0.03664,0.045312,0.033664,,,,,,,,,,,
41,744969379,0.036448,0.0456,0.03792,,,,,,,,,,,
42,745162243,0.041248,0.058688,0.0352,,,,,,,,,,,
43,745459618,0.040736,0.054528,0.037408,,,,,,,,,,,
44,745657185,0.038752,0.058272,0.047872,,,,,,,,,,,
45,745851617,0.03856,0.055584,0.03632,,,,,,,,,,,
46,746050304,0.037984,0.055968,0.034751,,,,,,,,,,,
47,746241216,0.036672,0.046111,0.035584,,,,,,,,,,,
48,746431583,0.03984,0.05152,0.03456,,,,,,,,,,,
49,746652766,0.041376,0.061216,0.042496,,,,,,,,,,,
50,746811230,0.040032,0.057888,0.041696,,8.643526,,,,,,,,,
51,746995677,0.039968,0.044736,0.041855,10.547904,,0.089088,,,,,,,,
52,747171197,0.040704,0.067103,0.04096,,0.086432,,,,,,,,,
53,747381404,0.065088,0.064864,0.039456,10.527489,0.0824,0.061696,,,,,,,,
54,747765595,0.044448,0.064416,0.075359,10.577857,,0.106912,,,,,,,,
55,747940315,0.04304,0.063296,0.07792,10.640864,0.063136,,,,,,,,,
56,748229466,0.043551,0.054176,0.051872,,0.056992,0.086112,,,,,,,,
57,748423353,0.045088,0.089343,0.042752,10.74992,0.05856,0.080064,,,,,,,,
58,748720696,0.04272,0.072032,0.044768,10.895903,0.061696,0.069568,,,,,,,,
59,749008375,0.05728,0.091936,0.046464,11.017983,0.058272,0.0576,,,,,,,,
60,749309366,,,0.048192,11.023839,0.072448,0.056512,,,,,,,,
61,749651061,,,,11.111359,0.054368,0.064991,,,,,,,,
62,749920853,,,,11.126655,0.053184,0.0536,,,,,,,,
63,750184340,,,,11.219743,0.057984,0.065184,,,,,,,,
64,750426707,,,,11.32147,0.051488,0.050976,,,,,,,,
65,750664818,,,,11.405695,0.072512,0.050687,,,,,,,,
66,750947634,,,,11.502366,0.054175,0.063616,,,,,,,,
67,751187857,,,,11.545854,0.062784,0.053856,,,,,,,,
68,751424400,,,,11.607581,0.074048,0.04944,,,,,,,,
69,751693135,,,,11.682878,0.052672,0.061119,,,,,,,,
70,751939823,,,,11.746461,0.048288,0.058368,,,,,,,,
