Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
0,736084723,0.045279,0.130524,,,,,,,,,,,,
1,737529960,0.043007,0.023007,0.049438,0.075134,,,,,,,,,,
2,737996570,0.034303,0.045695,,0.044446,,,,,,,,,,
3,738281650,0.030975,0.056542,,0.042079,,,,,,,,,,
4,738466348,0.030495,0.036479,,0.039358,,,,,,,,,,
5,738622440,0.075646,0.038879,,0.041535,,,,,,,,,,
6,745315393,0.046078,0.108828,,0.040831,,,,,,,,,,
7,746433664,0.04355,0.066942,,0.035647,,,,,,,,,,
8,747462818,0.032287,0.060543,,0.033535,8.425734,,,,,,,,,
9,747683099,0.034399,0.087517,10.16181,0.033919,0.052702,0.059807,,,,,,,,
10,748028081,0.029567,0.068766,10.116948,0.031199,,,,,,,,,,
11,748192748,0.028799,0.038431,,0.040991,0.064606,0.066718,,,,,,,,
12,748360743,0.030463,0.033375,10.119732,0.049663,0.049343,0.051582,,,,,,,,
13,748583104,0.029471,0.049086,10.19397,0.027807,,0.053022,,,,,,,,
14,748760347,0.030303,0.050207,,0.041343,0.047007,,,,,,,,,
15,748889431,,0.034015,10.266991,0.035711,0.049215,0.076062,,,,,,,,
16,749136912,0.030303,0.051358,3.809487,0.046463,0.050366,0.048095,,,,,,,,
17,749360265,0.030655,0.047198,2.945801,0.027903,0.045215,0.046526,,,,,,,,
18,749528452,0.029951,0.060734,2.146464,0.031199,0.047007,0.056606,,,,,,,,
19,749834267,0.031199,0.043487,2.151168,0.041791,0.055583,0.067006,,,,,,,,
20,750057493,0.030815,0.037567,2.055395,0.028959,,0.063134,,,,,,,,
21,750214032,0.029663,0.051967,,0.031007,0.067422,,,,,,,,,
22,750345196,0.030815,0.050623,2.152448,0.032159,0.062622,0.078974,,,,,,,,
23,750539206,0.029951,0.048894,2.250621,0.033439,,,,,,,,,,
24,750673570,0.029631,0.036383,,0.05299,0.062238,0.062206,,,,,,,,
25,750855261,0.030496,0.045406,2.272157,0.030399,0.059294,0.046527,,,,,,,,
26,751025048,0.037567,0.034143,2.313531,0.026143,,,,,,,,,,
27,751153460,0.028575,0.031551,,0.029023,0.073149,0.050111,,,,,,,,
28,751322191,0.030527,0.043871,2.406969,0.027007,,0.06243,,,,,,,,
29,751438924,0.029759,0.031807,2.358874,0.030559,0.049375,0.051967,,,,,,,,
30,751824416,0.031775,0.042559,2.436248,0.072733,0.06275,0.048543,,,,,,,,
31,752066297,0.030623,0.055294,2.575796,0.038879,0.088733,0.053598,,,,,,,,
32,752344913,0.148956,,2.446263,0.164603,0.052799,0.107837,,,,,,,,
33,752665767,,,2.579315,,0.059358,0.057919,,,,,,,,
34,752888961,,,2.63173,,0.058206,0.044542,,,,,,,,
35,753093531,,,2.678865,,0.043999,0.04499,,,,,,,,
36,753307316,,,2.734671,,0.046527,0.057183,,,,,,,,
37,753520110,,,2.773294,,0.049694,0.043263,,,,,,,,
38,753720552,,,2.810093,,0.045694,0.044511,,,,,,,,
39,753937602,,,2.886411,,0.044574,0.044446,,,,,,,,
40,754130684,,,2.948201,,0.044767,0.05283,,,,,,,,
41,754350101,,,3.000903,,0.061374,0.044607,,,,,,,,
42,754558991,,,3.078917,,0.045151,0.045695,,,,,,,,
43,754762313,,,2.776686,,0.04899,0.054974,,,,,,,,
44,754977507,,,2.817037,,0.050687,0.04579,,,,,,,,
45,755217308,0.092189,0.092989,,0.035967,0.068766,,0.125245,,,,,,,
46,760782294,0.034175,0.044254,,0.028832,,,,,,,,,,
47,760925554,0.027263,0.042783,,0.026687,,,,,,,,,,
48,764079669,0.083485,0.055615,,0.030175,,,,,,,,,,
49,764238352,0.028095,0.050559,,0.052926,,,,,,,,,,
50,764405227,0.027071,0.042431,,0.026527,,,,,,,,,,
51,792793825,0.108573,0.144156,,0.037183,,,,,,,,,,
52,793161110,0.031199,0.043487,,0.028063,,,,,,,,,,
53,793294578,0.024543,0.041823,,0.023839,,,,,,,,,,
54,796044576,0.103421,0.513424,,0.061151,,,,,,,,,,
55,796348791,0.049246,0.058846,,0.042399,,,,,,,,,,
56,796562769,0.040127,0.07187,,0.043135,,,,49.482948,0.196378,,,,,
57,819556231,0.103709,0.128604,,0.038591,,,,,,,,,,
58,819751873,0.031103,0.057694,,0.029791,,,,,,,,,,
59,820357167,0.034559,0.07523,,0.029855,,,,,,,,,,
60,821184599,0.096925,0.08547,,0.038463,,,,,,,,,,
61,821346354,0.030399,0.039359,,0.029759,,,,,,,,,,
62,821513741,0.029023,0.046047,,0.036927,,,,,,,,,,
63,821912385,0.046879,0.087677,,0.05907,,,,,,,,,,
64,822099036,0.029823,0.045727,,0.05107,,,,,,,,,,
65,822270678,0.029439,0.047166,,0.026496,,,,,,,,,,
66,822520943,0.029151,0.036447,,0.035935,,,,,,,,,,
67,822661707,0.031903,0.033247,,0.025183,,,,,,,,,,
68,822789447,0.025791,0.038975,,0.024895,,,,,,,,,,
69,822926819,0.026495,0.039199,,0.027167,,,,,,,,,,
70,823090366,0.028991,0.036863,,0.036479,,,,,,,,,,
71,824013443,0.040383,0.075518,,0.035359,,,,,,,,,,
72,824205597,0.034975,0.070974,,0.037471,,,,,,,,,,
73,830194859,0.048543,0.080477,,0.039935,,,,,,,,,,
74,831363145,0.040542,0.053727,,0.046302,,,,,,,,,,
75,831580674,0.048414,0.067454,,0.040319,,,,,,,,,,
76,832297933,0.190043,0.061726,,0.040959,,,,,,,,,,
77,832536070,0.067294,0.052671,,0.039487,,,,,,,,,,
78,832731424,0.041119,0.047806,,0.051807,,,,,,,,,,
79,832952602,0.040607,0.067966,,0.038974,,,,,,,,,,
80,833149332,0.038559,0.063294,,0.058782,,,,,,,,,,
81,833359694,0.040351,0.051167,,0.041502,,,,,,,,,,
82,833734466,0.041343,0.054622,,0.057375,,,,,,,,,,
83,833952668,0.040638,0.049247,,0.036991,,,,,,,,,,
84,846713537,0.123356,0.128764,,0.057407,,,,,,,,,,
85,847335951,0.060062,0.076798,,0.05299,,,,,,,,,,
86,847780738,0.029183,0.047615,,0.032991,,,,,,,,,,
87,855656696,0.118301,0.154011,,0.064606,,,,,,,,,,
88,856003598,0.05747,0.118685,,0.074302,,,,,,,,,,
89,856319716,0.060671,0.072285,,0.056895,,,,,,,,,,
90,878504914,0.105149,0.103325,,0.236889,,,,,,,,,,
91,878925830,0.034111,0.055775,,0.026591,,,,,,,,,,
92,879056418,0.025567,0.038783,,0.025567,,,,,,,,,,
93,880988169,0.035615,0.064222,,0.032767,,,,,,,,,,
94,881154404,0.044031,0.036831,,0.039231,,,,,,,,,,
95,881392445,0.031327,0.046399,,0.029375,,,,,,,,,,
96,902803553,0.101725,0.104092,,0.060031,,,,,,,,,,
97,903149495,0.035039,0.046974,,0.027743,,,,,,,,,,
98,903281075,0.024192,0.041022,,0.034143,,,,,,,,,,
99,903740550,0.027807,0.034591,,0.023103,,,,,,,,,,
100,903859938,0.029951,0.031295,,0.02192,,,,,,,,,,
