capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,tee1,funnel0
0.058543,0.776792,23.550415,73.626897,1.021519,41.477612,0.334092,1.995587,3.813542,0.139461,0.04801,0.341621
0.07928,16.09535,15.295041,69.294194,2.275864,34.984471,0.82753,1.145592,0.19433,0.08303,0.16897,0.165237
0.13691,29.190928,45.992446,68.229139,0.778554,19.794228,0.51042,0.150765,0.137918,0.075416,0.142183,0.117392
0.154779,0.526603,14.384975,70.961008,1.670759,23.175733,0.272397,0.414781,0.125136,0.088105,0.091557,0.15775
0.070936,15.745818,16.130505,71.825013,0.812658,22.31724,0.809199,0.383127,0.137974,0.132421,0.149211,0.115224
0.094889,30.663021,15.990478,72.175923,0.773718,23.119848,0.675734,0.383683,0.220286,0.111807,0.094161,0.110751
0.38205,28.290589,15.804039,72.413368,0.776895,23.425023,0.697888,0.369659,0.189347,0.117851,0.148045,0.163067
0.312077,4.447152,14.520658,71.199056,0.780244,23.674148,0.682884,0.490572,0.19532,0.072896,0.145785,0.163796
0.086281,6.604642,14.554387,71.520196,0.792425,10.232526,0.683226,0.29434,0.18226,0.132744,0.092488,0.156361
0.083832,30.120595,15.927781,72.013011,0.693604,10.615884,0.569159,0.330574,0.180345,0.123867,0.094017,0.162276
0.095486,10.969309,14.871548,71.975581,0.578836,10.934829,0.720221,0.542634,0.174834,0.073366,0.089511,0.111285
0.199155,10.388009,14.861327,72.120164,0.320295,10.0297,0.727641,0.247965,0.182881,0.071988,0.141146,0.175512
0.330678,4.843149,14.765928,71.405142,0.818539,10.78965,0.730233,0.364047,0.175319,0.070333,0.092376,0.163599
0.149655,17.074823,15.762832,71.717027,0.860621,10.897273,0.727226,0.380672,0.128162,0.072736,0.093487,0.112541
0.311051,17.04133,14.936985,72.901489,0.514391,10.359151,0.748688,0.316957,0.210883,0.167354,0.150143,0.063502
