capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
0.219781,0.660285,1.301809,5.599838,0.200582,8.419329,0.68838,1.812767,0.375212,0.137098,0.371295,0.047218
0.247347,0.815943,1.982379,7.352766,2.332247,31.343948,0.412943,0.695558,0.090508,0.067031,0.197579,0.092535
3.343563,4.425669,5.332816,2.451687,0.213975,2.623642,0.563558,0.164717,0.060987,0.065146,0.138491,0.063921
0.212348,0.543836,0.80307,1.933312,0.188441,2.692354,0.501141,0.136213,0.063061,0.068942,0.113857,0.107764
0.101136,0.235754,0.532352,1.901461,0.184034,2.391143,0.501373,0.134364,0.063172,0.070831,0.413653,0.090863
0.095744,0.229441,0.534285,2.014757,0.196909,2.351635,0.53588,0.137959,0.138295,0.094485,0.446061,0.1241
0.085526,0.218817,0.531247,1.907468,0.1716,2.251667,0.502294,0.135638,0.131727,0.068007,0.282317,0.112655
0.106929,0.23034,0.532044,1.908346,0.188089,2.19604,0.50476,0.133108,0.108683,0.070298,0.280099,0.089535
0.101842,0.26926,0.530311,1.910727,0.183936,1.788923,0.501972,0.135061,0.14016,0.068471,0.272858,0.091822
0.100159,0.236615,0.530633,2.140523,0.196616,1.709991,0.498493,0.169191,0.106801,0.068458,0.285835,0.123833
0.102896,0.279055,0.537461,1.908323,0.18814,1.77272,0.503154,0.135875,0.106036,0.067261,0.207527,0.093341
0.104639,0.243784,0.535109,1.975807,0.233579,1.753952,0.496424,0.135596,0.105889,0.087447,0.229041,0.091117
0.101726,0.232003,0.531693,1.903046,0.183905,1.820741,0.503599,0.135515,0.194161,0.068549,0.262801,0.093109
0.087875,0.236902,0.532732,1.90585,0.171143,1.779366,0.501641,0.132391,0.108555,0.067042,0.419895,0.091265
