Frame,ts,capsfilter0,queue0,vaapipostproc0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
0,4970396269,0.086877,0.460234,2.428634,0.258317,12.101438,0.272832,1.737261,0.35791,,,
1,5006467481,0.097351,0.213294,1.785323,0.197867,,,,0.093397,0.141225,,
2,5032499963,,,,,25.599677,0.446952,0.767307,0.129886,0.081417,,
3,5035480146,0.386577,2.071811,12.068966,0.208525,7.232016,0.462393,0.203119,0.143382,0.072157,,
4,5060700928,0.103183,0.233809,1.835252,0.197182,5.709149,0.469528,0.195571,0.115176,0.069911,,
5,5080593267,2.099678,3.594998,6.412155,3.989108,9.390447,0.456891,0.185795,0.112482,0.069781,,
6,5132292141,2.586421,3.248751,1.898378,0.205142,7.045395,0.480123,0.193527,0.112439,0.069487,,
7,5155673485,2.822604,3.093883,1.931891,0.21248,10.651094,0.853515,0.291954,0.116594,0.110872,,
8,5194728821,0.100612,0.283449,2.959349,0.18846,5.503953,0.483951,0.23015,0.119983,0.074329,,
9,5216702624,2.454679,4.324488,1.950015,0.206729,4.334689,11.774805,0.274127,0.120247,0.072658,,
10,5266999479,0.105696,0.241678,1.793438,0.201069,3.726201,2.491508,1.048461,0.119776,0.072902,,
11,5288657621,0.104508,0.239848,1.796459,0.205635,3.752395,3.228493,4.130297,0.676005,4.070391,,
12,5336474161,0.104075,0.228581,1.781806,0.240914,3.670932,0.516991,0.236293,9.607683,5.331519,,
13,5349068796,0.102117,0.231783,2.860524,0.198193,3.689738,0.453705,0.179125,0.119573,0.06983,,
14,5383517436,0.103933,0.269806,1.735247,0.198619,3.64981,0.472029,0.18134,0.110867,0.069634,,
15,5416185593,0.100212,3.037697,16.616777,0.2475,4.399535,0.671096,0.268427,0.111109,0.069599,,
16,5468992073,0.204948,0.302583,1.796839,0.245532,9.611515,0.67272,0.271357,0.171692,0.312092,,
17,5490485058,0.106376,0.275451,1.991199,0.244548,4.244113,0.599023,0.233031,0.172561,0.111369,,
18,5518582347,0.104224,1.068781,1.973368,0.312305,3.654112,0.540758,0.202521,0.189822,0.09629,,
19,5553581141,0.102965,0.231636,1.740624,0.201854,3.569622,0.497687,1.94513,0.123857,0.077594,,
20,5586891058,0.125006,0.30576,3.195103,0.246122,6.094494,0.541804,0.20918,0.265885,0.072649,,
21,5622981798,0.10652,7.972092,,,,,,0.130965,0.082404,,
22,5682804487,0.087144,20.643665,28.986547,4.440631,11.462474,0.472298,0.180432,0.111795,0.070565,,
23,5707851105,0.11561,0.230519,7.327122,0.2052,4.613439,,,,,,
24,5715638944,0.101144,0.237253,1.77539,0.249267,3.6886,9.639005,1.129318,4.116019,4.031564,,
25,5749462303,0.102692,2.388773,1.798972,0.196553,4.603784,2.389234,2.622447,4.218212,6.159813,,
26,5810559550,0.08587,9.797832,22.341348,4.770463,16.291942,1.562588,0.280798,0.158414,0.074673,,
27,5839422841,0.097837,0.222561,14.663619,0.203944,11.773255,0.469319,0.179072,0.111833,0.069456,,
28,5865075970,0.115343,0.231346,16.10834,0.305771,3.752479,0.519219,0.182322,0.112239,0.069962,,
29,5884671988,0.103337,0.273822,1.907174,0.199632,4.881196,2.053319,3.05711,4.712489,7.076067,,
30,5918411113,0.101967,0.232902,1.840471,0.201677,3.921951,0.569662,0.191099,0.116538,0.07373,,
31,5952035241,0.101382,0.236338,1.733035,0.200284,3.588051,0.458051,0.177437,0.111759,0.069348,,
32,5985879114,,,1.79758,0.201331,4.820766,0.453794,0.278515,0.109431,0.069007,,
33,6004047365,,,,,,,,0.124974,0.140673,,
34,6004749238,0.135045,1.84493,2.026387,0.299859,4.079109,3.841895,0.433479,0.114814,0.078899,,
35,6030115945,0.113138,0.265889,1.824833,0.214278,4.096555,0.569329,0.246619,0.145274,0.08723,,
36,6058660912,0.100196,0.273234,1.8447,0.198958,3.710878,0.443808,0.191964,0.142375,0.088389,,
37,6091830082,0.102592,0.230908,1.722719,0.287192,3.729986,0.485656,0.189394,0.113285,0.069191,,
38,6125568377,0.103421,0.235755,1.776556,0.200056,3.90388,3.01889,2.168757,0.112535,0.069696,,
39,6177457544,0.129282,0.328079,1.799473,0.251232,4.051196,0.985293,0.308358,13.434311,0.206743,,
40,6194418114,0.125975,0.312011,1.847456,0.242672,3.942107,0.634097,0.251999,0.235409,0.123566,,
41,6227591960,0.106598,0.24868,1.742765,0.210029,3.704779,0.506186,0.189652,0.159455,0.102058,,
42,6260633019,0.102829,0.232529,1.779192,0.201858,3.817124,2.889987,1.491905,0.117249,0.073751,,
43,6308416050,0.099169,2.639975,18.37396,4.497523,,,,6.349627,4.048904,0.237236,
44,6362294398,0.085584,7.967946,7.780444,0.207161,15.517151,0.506426,0.181953,0.112135,0.069829,,0.043931
45,6376505853,0.100799,0.231444,1.732106,0.202992,4.931029,0.476817,0.181003,0.147404,0.074378,,
46,6397923817,0.105107,0.241633,1.748893,0.273269,3.72566,3.071185,1.822814,4.050745,6.206351,,
47,6429111381,0.105171,0.24409,1.777402,0.209512,3.637529,0.508391,0.193348,0.11707,0.112913,,
48,6463042811,0.137406,0.355405,1.927486,0.262173,3.840013,0.491833,0.188668,0.117157,0.074424,,
49,6497575206,0.125992,0.307015,4.265428,0.37587,4.23678,0.567135,0.266969,0.139636,0.088079,,
50,6533701387,0.110439,0.26865,1.779739,0.228725,3.991565,0.668968,0.26987,0.172965,0.111962,,
51,6564377030,0.106497,0.246926,1.872974,0.255231,3.80344,0.593814,0.221135,0.139366,0.117822,,
52,6598911321,0.10715,0.246239,1.7492,0.260748,4.200908,0.754778,0.294693,0.188756,0.123007,,
