Frame,ts,capsfilter0,queue0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,tee1,funnel0
0,6156428391,0.056804,0.388517,10.734508,0.243402,19.149913,0.86539,,,,,
1,6192445990,0.137964,0.254204,6.066516,0.381975,8.864548,,5.428162,0.777355,,,
2,6224334700,0.143451,0.292673,7.297254,0.252319,6.227648,,,,,,
3,6258836430,0.42517,0.768916,7.621051,1.851302,,,,0.358501,2.409849,,
4,6269450657,,,,,,65.820606,3.216681,0.734971,0.982406,,
5,6277704542,,,,,12.42866,1.22256,1.264221,0.587159,0.321067,,
6,6283992152,0.108234,0.328465,5.996069,0.25032,6.933116,1.728664,1.012317,0.489918,0.27801,,
7,6308557684,0.140776,0.265356,5.971484,0.243808,8.778382,1.383077,0.850679,0.464311,0.288842,,
8,6343506232,0.154377,0.258477,5.992347,0.32982,6.067277,0.654046,0.270852,0.471526,0.279483,,
9,6373994448,0.152664,0.272419,5.868725,0.298359,6.283837,0.663837,0.246136,0.113359,0.12001,,
10,6409287629,0.181492,0.303879,5.924897,0.250327,4.448584,0.611066,0.264174,0.155768,0.071385,,
11,6438793508,0.141934,0.273808,5.987395,0.292173,4.475323,0.612321,0.211551,0.199069,0.072129,,
12,6472577520,0.145035,0.270637,5.942448,0.249312,4.582362,0.617452,0.229226,0.155612,0.149169,,
13,6506312942,0.142952,0.591807,5.875535,0.338549,4.488999,0.622192,0.220383,0.155157,0.07063,,
14,6540390251,0.102389,0.310888,5.889814,0.301018,4.70663,0.537233,0.214682,0.201806,0.119032,,
15,6575845083,0.147074,0.277953,5.965543,0.250221,4.443347,1.835726,0.94881,0.162956,0.071901,,
16,6610020306,0.146723,0.322361,7.370775,0.244878,4.436787,1.300873,0.777884,0.459334,0.298439,,
17,6644473308,0.140635,0.275757,5.988486,0.296706,5.927495,1.250892,0.78332,0.441954,0.289152,,
18,6678263778,0.151214,0.330009,5.9247,0.296806,5.330588,1.695358,0.820472,0.439177,0.270169,,
19,6711928243,0.145546,0.265687,5.874533,0.291922,5.445969,0.781267,0.284725,0.423605,0.271089,,
20,6745171389,0.157382,0.268555,10.894851,0.701919,7.544866,0.592756,0.393279,0.162154,0.117802,,
21,6785025969,0.099694,0.272462,18.435751,0.739173,7.665923,0.6016,0.396244,0.114514,0.119426,,
22,6826544318,0.144876,0.487056,20.695347,0.249489,5.470892,0.621471,0.437515,0.161928,0.146316,,
23,6860240466,0.096836,0.327712,5.862071,0.285806,7.666729,0.271277,0.267524,0.1653,0.154268,,
24,6880525820,0.151342,0.266334,5.887594,0.320786,4.463057,0.618847,0.299449,0.11141,0.116693,,
25,6912361679,0.143263,0.324748,5.857475,0.25107,4.61814,0.737506,0.237112,0.114412,0.112587,,
26,6947574799,0.327889,0.71413,6.098929,0.290595,4.59322,0.707298,0.221884,0.163202,0.070448,,
27,6980058592,0.324135,0.527961,6.52354,0.241564,5.365094,0.630286,0.21509,0.160961,0.070053,,
28,7014847720,0.346961,0.71577,6.077696,0.346283,4.715334,0.705166,0.215534,0.303091,0.080452,,
29,7047764587,0.321771,1.172435,7.745873,0.348826,5.939303,0.604822,0.23624,0.159696,0.072098,,
30,7084827599,0.280396,0.634935,5.995138,0.24683,4.022998,0.755275,0.240745,0.160979,0.070215,,
31,7115687520,0.310383,0.491523,6.130616,0.290706,3.934795,0.621115,0.26935,0.158991,0.072064,,
32,7148023139,0.30343,0.606096,6.175522,0.247878,3.874985,0.624297,0.301946,0.115331,0.116402,,
33,7181908100,,,,,,,,0.15831,0.072883,,
34,7190166368,,,,,,,,0.17739,0.187126,,
35,7190894381,0.33702,0.767843,6.02646,0.328514,4.203541,0.603374,0.239594,0.177514,0.166438,,
36,7216069167,0.312702,0.703503,6.091882,0.243397,4.88429,0.309738,0.303954,0.16215,0.114109,,
37,7250155183,0.157423,0.562871,17.770214,0.750397,6.074853,0.583262,0.349902,0.157692,0.112548,,
38,7297659114,0.146571,0.526701,17.428271,0.780698,5.81939,0.495888,0.356042,0.174359,0.072976,,
39,7332909634,0.161575,0.965223,7.488788,0.296951,4.610648,0.401268,0.417181,0.164527,0.074274,,
40,7352927459,0.142474,0.544953,7.440819,0.235068,4.456666,0.475962,0.348171,0.160285,0.070603,,
41,7386044444,0.16026,0.573222,6.037722,0.245136,4.598293,0.334862,0.345409,0.200951,0.071864,,
42,7418404995,0.142415,0.316156,5.962745,0.240718,9.154023,0.750683,0.477236,0.156396,0.071019,,
43,7457007789,0.321172,1.001177,6.139185,0.248488,4.603987,0.280642,0.328879,0.175341,0.112128,,
44,7488583745,0.343846,0.510472,5.99104,0.301633,4.07137,1.772432,0.95143,0.162088,0.071976,,
45,7521913747,0.179629,0.624963,7.412893,0.247219,4.003722,1.228578,0.668603,0.444226,0.284384,,
46,7556038656,0.177324,0.573852,6.064611,0.336459,3.807201,1.30121,0.656395,0.433278,0.258328,,
47,7588371050,0.17506,0.356226,5.987092,0.23789,3.963108,0.652163,0.213579,0.405502,0.295846,,
48,7620339433,0.330764,1.291591,6.224861,0.246153,5.066777,0.666644,0.226385,0.159934,0.069544,,
49,7657951276,0.313784,0.765995,6.13376,0.295431,4.318958,0.619851,0.205132,0.16156,0.073801,,
