Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0
0,568777973,0.073394,0.782317,16.626758,,,,,
1,631500838,0.075429,,,45.31379,0.766531,,,
2,651387547,0.075282,47.697436,,,,,,
3,659726231,0.29939,,8.338684,60.182017,0.793749,53.616709,0.25403,0.626324
4,732525091,0.145231,92.834816,10.436641,42.986918,0.758582,13.038757,0.356207,0.144121
5,797572270,0.16154,119.026278,8.064425,33.241123,0.757589,12.113792,0.38542,0.111177
6,850332270,0.142276,118.253991,7.273154,33.458005,0.757194,12.258694,0.369002,0.230773
7,902464696,0.126485,105.391803,7.292198,33.801087,0.752728,12.050104,0.329633,0.183037
8,955740220,0.158891,105.97788,7.675678,41.940239,0.779072,12.356904,0.337121,0.148772
9,1016872905,0.143985,114.8669,7.690588,32.740311,0.726921,11.904219,0.367745,0.185963
10,1068779979,0.139408,113.546686,10.166111,33.988785,0.824821,11.886683,0.297265,0.108566
11,1118774115,0.158853,102.375956,7.155253,33.158714,0.772255,6.441757,0.370183,0.141868
12,1164910306,0.138516,96.576915,7.639857,36.449662,0.743737,6.401921,0.378808,0.142833
13,1214957841,0.1289,96.619528,7.119619,33.454455,0.797384,6.57497,0.430963,0.152386
14,1261793464,0.143886,97.328396,7.304145,34.266013,0.765212,6.947348,0.3735,0.1778
15,1309260992,0.160399,94.828174,7.655491,32.856788,0.784152,7.007051,0.210995,0.186234
16,1355649808,0.15735,94.291753,7.769935,32.531719,0.756323,6.435678,0.345732,0.161457
17,1401818674,0.144508,92.98301,7.207871,33.367,0.859025,6.481766,0.368079,0.170375
18,1447348739,0.065598,92.164683,7.39221,33.198375,0.728722,6.572589,0.33859,0.189835
19,1492862314,0.064598,91.484142,7.486544,33.473781,0.781195,6.774874,0.292666,0.187128
20,1538674338,0.14256,91.177063,7.530917,33.309182,0.774132,6.559952,0.375202,0.17274
21,1584323840,0.062237,91.282065,8.07308,33.081427,0.896134,6.44266,0.404903,0.16859
22,1630436556,0.065395,91.525961,7.495818,34.296575,4.721198,6.672061,0.29697,0.192069
23,1681359846,0.063494,96.828055,7.579528,33.389292,0.977917,7.111445,0.368721,0.191107
24,1727366008,0.06402,96.766059,7.950802,40.005312,0.821348,6.476928,0.315131,0.131558
25,1780325206,0.064822,98.78173,7.946034,33.027684,0.944662,6.577684,0.432292,0.140329
26,1826186913,0.064676,98.673234,7.480256,33.174326,0.738616,6.477064,0.334643,0.157491
27,1871585512,0.064598,91.089736,7.965957,32.845618,0.810428,6.374198,0.231609,0.136016
28,1917308745,0.064043,90.964804,8.004863,33.097639,0.864114,6.49206,0.32366,0.152131
29,1963290971,0.064741,91.534937,7.490878,41.183725,0.808383,6.338917,0.31258,0.12734
30,2016987531,0.102882,99.502631,7.457682,33.53,0.728239,6.656826,0.352465,0.149503
31,2062743234,0.09099,99.275639,7.428048,33.274324,0.714668,6.531107,0.301649,0.167432
32,2108367438,0.101836,90.911457,7.900597,32.643658,0.767258,6.446077,0.400966,0.155902
33,2152410634,0.06586,89.449015,7.855043,32.211892,0.792756,5.246528,0.354477,0.191836
34,2195811986,0.081403,87.444548,7.994681,32.657633,0.727646,5.217201,0.408364,0.114078
35,2239806667,0.068748,87.221457,7.868884,31.795172,0.787786,5.132807,0.263354,0.156119
36,2282935892,0.065301,86.958098,7.400518,33.070299,0.759135,7.437739,0.369247,0.115295
37,2327066123,0.067807,86.726852,7.493731,32.602943,0.897728,5.158347,0.337585,0.141909
38,2370453981,0.06522,87.181463,7.543265,32.583574,0.856898,5.063088,0.341506,0.114984
39,2413830336,0.064666,86.764213,7.764116,32.974883,0.830312,5.282371,0.377727,0.156078
40,2458017109,0.064079,87.563128,7.872958,33.346306,0.780444,5.10346,0.30926,0.110941
41,2502692127,0.06507,88.671107,7.334327,33.005736,0.796795,5.159597,0.313951,0.115733
42,2546411133,0.095758,88.223382,7.578378,32.795068,0.797513,5.148412,0.403567,0.139938
43,2590134554,0.065496,87.250513,7.523976,33.028775,0.811914,5.15447,0.299565,0.137834
44,2634151804,0.093382,87.563692,7.497761,37.401825,0.745653,5.23165,0.369539,0.166501
45,2682506983,0.065843,92.217595,7.506207,33.162857,0.785454,5.198942,0.298987,0.163019
46,2726604555,0.065826,92.273414,7.577883,37.892046,0.77845,5.299659,0.362387,0.202194
47,2775581072,0.117711,92.909338,7.902611,32.664534,0.767869,5.152238,0.325703,0.132637
48,2819625463,0.103165,92.851429,8.423649,32.689068,0.800548,5.246326,0.278933,0.198112
49,2864193686,0.064161,88.384936,9.967076,32.784226,0.770606,5.216609,0.398569,0.159819
50,2910302582,0.065098,90.491142,7.546251,34.103416,0.782938,5.055081,0.320964,0.208891
51,2955464581,0.066796,91.09935,7.945055,32.422151,0.784114,5.221927,0.277456,0.166824
52,2999338175,0.064396,88.859389,7.932225,32.450419,0.722882,5.171735,0.308591,0.154297
53,3043173532,0.094244,87.518254,7.438438,33.175592,0.757284,5.128147,0.305155,0.128051
54,3087282621,0.069664,87.79864,8.188232,32.819841,0.801714,5.181625,0.32305,0.128082
55,3131806779,0.09319,88.458034,8.003289,32.282604,0.770309,5.248286,0.27512,0.142439
56,3175545281,0.064068,88.065842,7.907046,33.264841,0.817846,5.038551,0.278963,0.150267
57,3220238970,0.092323,88.254822,7.977897,32.417787,0.76676,5.23209,0.304827,0.151881
58,3264082611,0.064864,88.389227,8.084272,33.505138,0.788003,5.170131,0.338265,0.159379
59,3309103553,0.064412,88.687625,7.726485,33.318817,0.802863,5.14849,0.308307,0.125802
60,3353910285,0.067133,89.662134,7.495481,33.641417,0.778429,5.558099,0.371103,0.127316
61,3398425422,0.064114,89.150924,7.633214,33.277979,0.801189,5.236834,0.369414,0.146929
62,3442677980,0.107875,88.58202,7.6543,32.928715,0.923173,5.063386,0.312004,0.113816
63,3486834833,0.092988,88.269784,7.357757,33.350125,0.77022,4.832153,0.327989,0.17997
64,3531033924,0.109224,88.174566,7.402536,32.881934,0.937875,5.205168,0.328933,0.139858
65,3574897547,0.092366,87.922262,7.561016,33.171344,0.779729,5.048334,0.311107,0.110026
66,3619094666,0.0645,87.871332,7.521051,33.254743,0.790199,5.135923,0.287657,0.136982
67,3663458271,0.067812,88.380544,8.092129,32.662138,0.79715,5.197459,0.305261,0.138168
68,3707665924,0.064772,88.395674,7.799827,32.590776,0.759869,5.105923,0.313177,0.126259
69,3751665485,0.065909,88.013378,12.376963,32.496311,0.822127,5.411734,0.333554,0.141927
70,3800035494,0.092151,92.222533,7.776056,32.716565,0.778456,5.18458,0.316585,0.143422
71,3844141511,0.063502,92.313834,7.862759,32.855181,0.739387,5.279463,0.336913,0.113726
72,3888306979,0.065963,88.093398,7.926128,33.544163,0.777948,5.139458,0.346107,0.110076
73,3933311065,0.064985,88.994692,7.802119,33.131464,0.867956,5.25333,0.326925,0.139776
74,3977703753,0.081175,89.222442,7.457339,33.695369,0.807054,5.060635,0.302486,0.135598
75,4022204324,0.06499,88.73138,7.734218,33.132081,0.887862,5.176054,0.334724,0.143162
76,4066615588,0.079676,88.747235,7.565258,33.157697,0.770153,5.133485,0.312857,0.114499
77,4110712061,0.064917,88.333119,7.699063,32.852758,0.774152,5.214328,0.292791,0.137749
78,4154601626,0.064698,87.795746,7.553017,33.083951,0.793387,5.170863,0.367679,0.110576
79,4198616242,0.064667,87.686493,7.668863,43.050978,0.795195,5.084081,0.315598,0.139505
80,4252796423,0.099132,98.02686,7.508793,32.949312,0.791759,5.441615,0.372422,0.136197
81,4296679338,0.064313,97.895971,8.366938,32.963097,0.837816,5.112159,0.324282,0.154574
82,4341751224,0.085606,88.52256,7.48424,32.917632,0.773501,5.067889,0.281271,0.133372
83,4385632774,0.065048,88.804005,7.551683,33.120632,0.753729,5.411649,0.334752,0.142719
84,4429607914,0.064547,87.85669,7.489704,33.193657,0.887554,5.192446,0.372616,0.109307
85,4473749265,0.064444,87.941368,7.470026,32.87808,0.892398,5.016421,0.352045,0.139026
86,4517592709,0.065254,87.823316,7.54895,33.179033,0.791646,5.062491,0.284582,0.134612
87,4561698098,0.063392,87.800168,7.556911,32.930272,0.825059,5.17126,0.337186,0.18257
88,4605652515,0.064585,87.8876,7.476948,33.066772,0.822156,5.09122,0.324911,0.111481
89,4649635913,0.088677,87.764508,7.515697,33.581041,0.813768,5.03695,0.32822,0.181728
90,4694088116,0.097651,88.261283,7.522537,33.274949,0.787895,5.114194,0.367344,0.110433
91,4738172023,0.064926,88.365845,7.472429,33.810121,0.764323,4.985603,0.241249,0.153561
92,4782953744,0.063985,88.683719,7.404889,33.391805,0.757607,5.139037,0.306904,0.113419
93,4827288483,0.064613,88.942293,8.011488,32.440994,0.757091,4.990904,0.367648,0.187299
94,4871143449,0.065818,88.041664,7.378806,32.871193,0.733768,5.080832,0.243111,0.107708
95,4914703861,0.062747,87.259246,7.571437,33.045168,0.768483,5.052915,0.308187,0.110171
96,4958677861,0.072355,87.385915,7.532099,32.915173,0.756939,5.140403,0.366328,0.133411
97,5002489674,0.092903,87.582076,7.468985,33.251865,0.780506,5.142759,0.292291,0.129989
98,5046592157,0.066555,87.703598,7.521189,33.179963,0.797889,5.059949,0.283321,0.138389
99,5090693596,0.071955,88.025748,7.460595,33.546354,0.790393,5.167327,0.373553,0.137512
100,5135208697,0.064017,88.430179,7.323609,33.147579,0.72739,5.130002,0.291104,0.138387
101,5179039992,0.086031,88.16,7.487348,32.971609,0.945636,5.061456,0.317371,0.134184
102,5223127557,0.101079,87.764205,7.588953,33.18449,0.764125,5.092604,0.354353,0.139332
103,5267257850,0.0677,88.047418,7.452242,34.093873,0.910256,5.070507,0.31945,0.135077
104,5312423162,0.09029,89.114101,7.797265,32.611811,0.795807,5.257444,0.285146,0.140798
105,5357407462,0.098358,89.997826,8.422004,32.869493,1.102612,6.180609,0.300975,0.11208
106,5402483908,0.064884,89.886244,7.484323,33.253942,0.80189,5.237814,0.330653,0.135764
107,5446565718,0.063304,88.937164,7.507913,33.082005,0.79918,5.427884,0.207287,0.145449
108,5490755391,0.065584,88.096499,7.657096,33.200567,0.766915,5.301255,0.313209,0.113016
109,5535013324,0.066056,88.259349,7.408984,33.2372,0.773979,5.103107,0.352681,0.147057
110,5579322667,0.066329,88.373314,7.984875,32.845183,0.776746,5.285903,0.289456,0.152085
111,5623595816,0.064741,88.39104,7.99348,32.50233,0.735919,5.160715,0.313777,0.110933
112,5667461254,0.067434,87.943586,8.038359,32.803793,0.767537,5.112642,0.297577,0.137403
113,5711724226,0.097613,87.955438,7.969281,32.785749,0.772701,5.186923,0.31096,0.112458
114,5757070779,0.068978,88.161374,8.210916,33.203409,0.758342,5.704027,0.366246,0.110903
115,5800686474,0.090223,88.780745,7.46081,33.010585,0.767862,5.247986,0.297028,0.133513
116,5844597685,0.063677,87.526906,7.749746,32.845693,0.74639,5.259115,0.30826,0.138864
117,5888563081,0.064808,87.697106,7.548757,32.99511,0.794197,5.169326,0.285339,0.147904
118,5932587297,0.065742,87.829485,7.91981,33.268944,0.759014,5.167225,0.321112,0.111132
119,5977192069,0.081816,88.478799,7.567716,32.778538,0.769359,5.247588,0.366866,0.140767
120,6021026966,0.066162,88.263499,7.740728,32.851535,0.736386,5.186564,0.282888,0.138102
121,6065115056,0.063815,87.756074,7.650327,33.0683,0.780388,5.229878,0.295667,0.137184
122,6109176833,0.06629,87.969112,7.690359,33.147143,0.864679,5.154202,0.416585,0.142034
123,6153529845,0.064724,88.239345,7.588667,33.033271,0.864578,4.986759,0.310237,0.182608
124,6197681752,0.093683,88.329992,7.389121,33.481519,0.83071,5.217929,0.372229,0.144334
125,6241904350,0.0958,88.225329,7.564012,32.935524,0.807916,5.126467,0.365323,0.13592
126,6285860373,0.064643,88.00239,7.570668,33.805919,0.754176,5.231462,0.329533,0.167497
127,6330579183,0.065011,88.505945,7.600645,32.886862,0.75549,5.062442,0.315835,0.126259
128,6374449209,0.064144,88.413869,7.456555,32.939997,0.746491,5.179534,0.368557,0.212387
129,6418161639,0.108242,87.410436,7.605804,33.376727,0.763776,5.090688,0.289915,0.152048
130,6462473377,0.099233,87.890375,7.41975,32.776339,0.828056,5.098776,0.297804,0.168921
131,6506095655,0.094567,87.743087,7.593914,32.945596,0.830718,5.216796,0.369821,0.113347
132,6550150708,0.095202,87.490352,7.533538,32.562386,0.946914,5.233052,0.285577,0.134121
133,6593864874,0.094559,87.590671,7.530109,32.796741,0.762097,5.187056,0.289725,0.133972
134,6637718881,0.066247,87.221595,7.53625,33.037157,0.801689,5.1757,0.298868,0.11121
135,6681480187,0.064196,87.438631,7.538043,33.004383,0.743853,5.079565,0.320147,0.157935
136,6725495869,0.092048,87.776988,7.485557,32.848014,0.762347,5.187684,0.309626,0.15234
137,6769224560,0.06459,87.580702,7.544709,34.44191,0.774397,5.134987,0.374304,0.130964
138,6814666074,0.113614,88.993871,7.561029,33.297104,0.780598,5.159092,0.311348,0.141382
139,6859020817,0.096161,89.630842,7.520806,32.95047,0.771334,5.106091,0.313938,0.111357
140,6903011867,0.068895,88.123992,7.312297,33.270836,0.800505,5.16369,0.359731,0.133537
141,6946980408,0.064977,87.779453,7.479427,33.129419,0.741502,5.064551,0.270441,0.144634
142,6991030618,0.067019,87.869448,7.465116,33.272884,0.924613,5.092964,0.284916,0.145084
143,7035363352,0.063273,88.206998,7.634498,32.730461,0.75956,5.103783,0.310735,0.11523
144,7079138049,0.063332,87.931608,7.412936,33.315318,0.928746,5.083103,0.280147,0.143024
