Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
0,8508744248,0.059357,0.332848,4.911254,13.985132,0.234802,13.184049,0.335767,1.865713,0.25026,,,
1,8545645267,0.070794,0.231043,2.200369,11.928981,0.233885,,,,,,,
2,8591764388,0.320968,,,,,,,,0.101564,0.179914,,
3,8594011011,,15.084156,,,,37.291902,0.610092,6.123992,0.236666,0.168707,,
4,8604438716,0.095459,0.221333,10.945276,10.700834,0.276983,,,,0.327083,0.077145,,
5,8629243397,0.117007,1.495047,1.951673,15.170581,0.234418,8.272241,0.635646,0.524682,0.183143,0.102736,,
6,8649578789,0.05832,,2.18026,19.485352,0.233665,7.724399,0.567512,0.53486,0.145647,0.159774,,
7,8678646272,,2.133077,2.057833,10.515262,0.233304,9.502901,1.860481,0.576513,0.189912,0.073395,,
8,8701842720,0.084837,0.294148,1.957778,10.713931,0.241343,7.295011,1.30171,0.587359,0.183809,0.101743,,
9,8732934734,0.138041,0.252408,1.961317,10.540669,0.232568,7.273135,0.610697,0.521853,0.145179,0.145049,,
10,8768574432,0.0912,0.287604,1.957511,10.493516,0.240455,7.179193,0.610837,0.519056,0.179414,0.074885,,
11,8802319240,0.103855,0.294951,2.015657,10.416089,0.236706,4.967887,0.612419,0.482419,0.303674,0.073821,,
12,8832237715,0.105005,0.295598,2.061512,10.547273,0.230026,5.05733,1.46079,0.596349,0.185749,0.07521,,
13,8865286836,0.100948,0.289953,1.955721,10.51993,0.23243,4.995868,0.617821,0.495287,0.173429,0.09918,,
14,8899017625,0.128729,0.26036,1.966282,9.815945,0.230954,5.028581,0.714307,0.514985,0.222209,0.075193,,
15,8934704950,0.127995,0.718009,2.023116,9.826529,0.260469,5.493431,0.608047,0.580631,0.225598,0.073424,,
16,8970496321,0.126492,0.80032,2.044423,10.479915,0.214755,5.636666,0.616064,0.580318,0.184642,0.113928,,
17,9007318057,0.135402,0.355496,1.961679,9.780499,0.23268,5.58453,0.679167,0.526049,0.180786,0.073568,,
18,9033842863,0.126156,0.262858,2.100589,9.661558,0.240931,5.50245,0.622374,0.507993,0.145437,0.104226,,
19,9068720871,0.116079,0.271425,1.969386,9.805946,0.256616,5.483782,1.866204,2.1057,1.112394,0.296117,,
20,9103860156,0.091363,0.304307,1.996624,9.923047,0.287224,5.534968,1.821276,2.019374,0.571645,0.303146,,
21,9138513964,0.101334,0.286791,1.955922,9.825078,0.22924,4.919138,1.693998,1.971414,0.570245,0.264986,,
22,9174752689,0.124564,0.271732,2.048647,10.120428,0.222321,5.155217,1.674401,1.97129,0.54097,0.308748,,
23,9206284595,0.104425,0.298665,2.031716,10.44763,0.413832,5.440533,3.900566,2.334703,0.648665,0.257738,,
24,9238278809,0.129327,0.257479,1.967556,9.874644,0.232231,5.598092,1.449181,1.892831,0.587032,0.276771,,
25,9272082774,0.126558,0.260748,1.957247,9.823175,0.233042,5.454838,1.829735,1.857665,0.550546,0.269639,,
26,9307817355,0.131253,0.265055,1.966983,10.117109,0.27159,5.476867,1.801598,1.914105,0.547119,0.308954,,
27,9343747440,0.131943,0.267568,2.088433,9.794081,0.223518,5.422835,1.804304,1.845603,0.565481,0.396613,,
28,9371736522,0.09872,0.681068,6.980107,,,5.562164,0.646102,0.50943,0.178276,0.072926,,
29,9425566624,0.081827,5.554514,2.046318,31.09688,0.284242,5.584731,0.580092,0.499253,0.144443,0.10257,,
30,9466507449,0.102865,15.63402,6.964992,37.160044,0.871757,7.6279,0.66552,0.477552,0.179546,0.071146,,
31,9511092938,0.113553,23.97243,6.919284,32.81195,0.730406,7.701838,0.61617,0.510269,0.16728,0.071121,,
32,9555197238,0.08173,,,32.529435,0.786665,,,,,,,
33,9559765296,0.106622,32.484567,6.980558,,,8.274458,0.652966,0.486693,0.176766,0.102138,,
34,9599105595,0.083456,12.676311,,32.359741,0.720552,7.864471,0.293149,0.35518,0.116331,0.102671,,
35,9609058674,,,,,,,,,0.06571,0.076594,,
36,9609584752,0.083823,22.989761,6.877388,33.698751,0.819529,6.762794,0.645938,0.475713,0.163879,0.128052,,
37,9652199846,0.113951,29.492918,6.778664,32.1699,0.76831,6.560335,0.650308,0.4956,0.142795,0.069574,,
38,9694227310,0.068008,,6.898706,,,,,,0.17432,0.100459,1.149302,
39,9732138521,0.106205,40.217593,6.693188,36.324539,0.776377,6.51248,0.622683,0.575607,0.228408,0.111281,,
40,9774440114,0.086824,19.350733,6.711899,32.220795,0.756417,6.465022,0.627714,0.517048,0.213228,0.073465,,
41,9817245903,0.078323,28.507354,,32.77908,0.772957,6.556487,0.746042,0.488071,0.177974,0.101751,,
42,9828892554,0.077111,,8.276944,32.529182,0.783044,,,,,,,
43,9864722788,0.084443,37.154409,6.829837,,,6.396742,0.62634,0.519019,0.176813,0.071526,,
44,9903807229,0.10176,7.909666,6.775564,32.254604,0.771992,6.261795,0.697797,0.477427,0.177062,0.071479,,
45,9946283808,0.11741,22.353214,6.849653,32.254776,0.879793,6.327117,0.784255,0.474253,0.244451,0.07879,,
46,9988513077,0.086781,30.642474,,32.059565,0.738136,6.382253,0.624556,0.50285,0.146427,0.104104,,
47,9998520749,0.101516,,6.843498,,,,,,,,,
48,10032145721,0.133487,37.191992,6.80623,33.624972,0.777969,6.531226,0.660533,0.46992,0.182299,0.102771,,
49,10074860537,0.082906,11.017404,6.774885,32.54602,0.804953,6.372627,0.619018,0.539656,0.222311,0.092453,,
50,10117717740,0.08792,24.956059,6.774951,32.636712,0.772396,6.256942,0.606676,0.504722,0.192523,0.070954,,
51,10160123010,0.088361,,,32.262326,0.80751,,,,,,,
52,10163784035,0.156276,33.972672,6.80538,,,6.694028,0.614999,0.47544,0.179895,0.103216,,
53,10202971522,0.116511,42.409146,7.367037,32.382107,0.793394,6.294913,0.623455,0.573898,0.178468,0.113593,,
54,10248782809,0.127955,16.950918,7.283428,35.194912,0.761114,6.382804,0.630295,0.504198,0.17563,0.074788,,
55,10291672113,0.125785,29.958626,,32.135375,0.773895,,,,,,,
56,10299138760,0.074776,,6.808235,,,6.692752,0.624957,0.474339,0.176541,0.10297,,
57,10334223945,0.118938,38.874914,6.935101,32.451463,0.799318,6.399003,0.627272,0.486036,0.175503,0.105601,,
58,10377062825,0.112869,13.11292,7.061618,32.580171,0.767822,6.338832,0.658693,0.482376,0.180995,0.10272,,
59,10419520490,0.084036,19.29961,8.009057,31.919651,0.782346,6.369347,1.168554,0.488572,0.18504,0.072088,,
60,10463401662,0.083617,27.46839,,32.592954,0.754007,,,,,,,
61,10470532446,0.079574,,6.932203,,,6.376777,0.635613,0.524918,0.168395,0.073285,,
62,10506264437,0.090256,42.261769,6.865169,32.525562,0.996594,6.803674,0.621924,0.580436,0.189108,0.074004,,
63,10549056616,0.076613,16.980536,7.179009,32.374955,0.750674,6.805348,0.623275,0.549538,0.188767,0.135514,,
64,10591306569,0.117355,22.996611,6.83116,31.593476,0.782321,6.429663,0.821794,0.500224,0.181659,0.101857,,
65,10635227010,0.120999,,,33.819464,0.802924,,,,,,,
66,10638470039,0.105748,30.93215,6.98418,,,6.544452,1.145652,0.605346,0.183941,0.072512,,
67,10677633291,0.126688,10.924244,7.534794,32.179072,0.776427,7.882238,0.653274,0.793587,0.250145,0.075785,,
68,10721306454,0.077157,20.677314,6.955753,32.56173,0.821805,7.181556,0.7383,0.527117,0.180717,0.113211,,
69,10764260862,0.077627,27.956092,6.838248,32.676211,0.742712,7.108092,0.665091,0.669582,0.200601,0.110185,,
70,10805363729,0.111696,,,,,,,,,,,
71,10806645132,0.087644,34.210846,6.929421,32.238705,0.796418,7.111681,0.654085,0.625363,0.196833,0.102604,,
72,10850418900,0.085802,14.933329,6.945056,33.627078,1.019087,6.84789,1.152156,0.69808,0.194338,0.07549,,
73,10893152494,0.113223,23.720038,,32.162206,0.779019,6.649105,0.60775,0.273756,0.108354,0.109489,,
74,10902182111,,,,,,,,,0.064988,0.074679,,
75,10903013941,0.11285,31.496704,7.161662,32.068733,0.780563,,,,0.116974,0.150696,,
76,10943975265,0.07573,,6.828338,32.627136,0.809783,7.38968,0.53297,0.510327,0.179788,0.093529,,
77,10981811233,0.078954,38.377084,6.748068,,,6.452289,0.621425,0.611204,0.242207,0.076181,,
78,11020615168,0.085281,16.089882,8.110074,32.055867,0.782487,6.78907,0.616188,0.530501,0.177214,0.072227,,
79,11064460902,0.087865,25.98182,6.709726,32.254507,0.760027,6.480395,0.732596,0.467416,0.173932,0.106165,,
80,11106780074,0.124383,34.6797,,32.309549,0.965641,,,,,,,
81,11114149370,0.131164,,6.790542,,,6.403655,0.572858,0.469825,0.180305,0.071854,,0.204284
82,11153366833,0.126764,45.219638,6.845788,36.336394,0.763605,6.619797,0.615272,0.519411,0.174112,0.072953,,
83,11195822675,0.08639,22.655509,6.642905,32.274278,0.745206,6.298687,0.681807,0.463255,0.181166,0.075816,,
84,11239802219,0.111351,32.78477,,33.629583,0.943772,,,,,,,
85,11247093436,0.076507,,6.901666,,,6.347445,0.697601,0.437213,0.137115,0.108966,,
86,11282773752,0.07517,41.706431,6.886155,32.44213,0.805272,5.420675,0.624544,0.352783,0.148231,0.099454,,
87,11325710733,0.105364,13.693165,6.849492,32.773894,0.784681,5.995569,0.617348,0.388157,0.16927,0.107232,,
88,11368264075,0.078824,20.099731,,32.2008,0.782343,7.133531,0.733343,0.498981,0.184996,0.109405,,
89,11378581910,0.084364,,6.982899,32.433092,0.752255,,,,,,,
90,11414242684,0.085177,34.725202,6.814569,,,6.447571,0.61513,0.560827,0.179437,0.101296,,
91,11454917430,0.11742,10.915898,6.965515,33.860177,0.791197,6.272503,0.673562,0.446272,0.168251,0.073207,,
92,11498009428,0.116507,17.862987,6.938942,32.583886,0.757164,6.705539,0.74646,0.52772,0.634178,0.241848,,
93,11540695530,0.121881,24.440884,,32.372099,0.814198,6.211846,,,,,,
94,11548534094,0.033757,,6.801164,,,,0.81252,0.402879,0.164618,0.072443,,
95,11583376541,0.118298,38.347154,6.894397,32.545539,0.772843,7.591948,0.621431,0.364744,0.157943,0.070286,,
96,11625580776,0.076685,14.446139,6.928958,32.095096,0.757273,6.968886,0.626741,0.346102,0.206318,0.107872,,
97,11669589794,0.075589,21.414919,6.877973,32.361322,0.774199,9.018711,1.756842,0.455975,0.164898,0.101643,,
98,11711974676,0.121115,27.770787,,32.201246,0.766876,,,,,,,
99,11718453760,0.079803,,6.937504,,,5.712208,0.582462,0.305017,0.144792,0.10932,,
100,11754520991,0.103847,40.61185,6.899898,32.28753,0.789017,5.98913,0.642604,0.350468,0.160415,0.107214,,
101,11797072332,0.118561,15.842436,7.059464,32.372599,0.787204,6.036234,0.627097,0.364461,0.166415,0.071135,,
102,11841255315,0.112107,25.044922,6.808874,33.561123,0.750765,5.850085,0.779363,0.366521,0.158996,0.07293,,
103,11883922905,0.117882,31.643544,,32.55527,0.766761,5.845454,,,,,,
104,11891916620,0.098376,,6.955327,,,,1.3815,0.355579,0.163386,0.06997,,
105,11926464538,0.087661,38.396871,6.898345,32.321198,0.842364,5.784496,0.628025,0.321161,0.155435,0.07286,,
106,11968991813,0.086751,18.921001,7.385742,32.254941,0.782067,5.530326,1.078457,0.325574,0.192251,0.106583,,
107,12012008502,0.07574,27.877016,6.764709,32.116727,0.772429,6.296595,0.73907,0.415647,0.172023,0.071506,,
108,12055760973,0.077298,35.701014,,33.625966,0.75903,,,,,,,
109,12062477247,0.113865,,6.852217,,,5.957244,0.610011,0.365544,0.161048,0.07171,,
110,12098764611,0.114939,42.602417,6.855132,32.654358,0.853172,5.952205,0.647923,0.385455,0.132831,0.103884,,
111,12141483148,0.108534,22.440093,6.939316,32.518052,0.760086,6.26895,0.646861,0.387695,0.17042,0.095407,,
112,12184781064,0.078864,31.892595,,32.825466,0.731486,,,,,,,
113,12191970179,0.07489,,,,,6.457629,0.635605,0.288984,0.11015,0.110818,,
114,12193597161,,,,,,,,,0.111988,0.077215,,
115,12194182433,0.076027,40.766185,6.561586,32.984592,0.729964,7.054989,0.649173,0.39343,0.127992,0.073333,,
116,12236711163,0.118629,11.151424,7.433765,31.599517,0.788446,6.111439,0.633146,0.446702,0.136888,0.103746,,
117,12279473237,0.116136,26.037294,7.05368,32.253141,0.979369,6.372818,0.739115,0.482398,0.135955,0.106675,,
118,12322802476,0.084587,,6.825848,32.148597,0.777669,,,,0.144956,0.104896,,
119,12359707662,0.075891,34.553127,6.876813,,,6.025858,0.581461,0.37884,0.164911,0.117155,,
120,12399105104,0.074842,42.601543,6.813277,32.520629,0.74333,6.645413,1.135432,0.405133,0.170681,0.093277,,
121,12441756160,0.078453,13.365714,7.121888,32.63909,0.780541,5.975851,0.622913,0.369307,0.161148,0.072485,,
122,12484720691,0.112174,27.746234,,32.341897,0.801416,5.942598,1.172296,0.403548,0.171327,0.071874,,
123,12495135372,0.082322,,7.125074,,,,,,,,,
124,12527405639,0.076399,36.720295,6.885203,32.270267,0.758063,5.736815,0.649414,0.299714,0.184753,0.109572,,
125,12569919115,0.116022,9.939119,6.988619,32.376285,0.76956,6.196874,0.625871,0.428104,0.170148,0.100734,,
126,12612851522,0.122995,16.643834,7.300804,32.426952,0.765048,6.112215,0.739056,0.379845,0.135463,0.107858,,
127,12655000910,0.112241,29.206855,,31.545069,0.908466,5.63679,0.641561,0.323121,,,,
128,12662665380,0.031845,,6.869449,,,,,,0.154532,0.272173,,
129,12699300807,0.085839,39.859274,6.907906,34.097897,0.756623,5.687073,0.624932,0.306821,0.247253,0.608854,,
130,12741796587,0.122098,13.77424,6.899296,32.266051,0.772277,5.491535,0.615948,0.303744,0.120229,0.104561,,
131,12784562011,0.107988,20.347898,6.936353,32.405551,0.761534,5.376754,1.13348,0.278137,0.11539,0.070062,,
132,12827523975,0.132795,27.272644,,32.710277,0.756739,,,,,,,
133,12834438563,0.112488,,6.890926,,,6.157849,0.661641,0.409175,0.160285,0.10856,0.461654,
134,12871632113,0.084423,43.115572,6.909186,33.968295,0.766931,5.455019,0.615078,0.255602,0.184401,0.110975,,
135,12914115435,0.149305,18.102894,7.078387,32.366298,0.822472,5.361799,0.651214,0.244925,0.151502,0.073752,,
136,12957104553,0.076083,25.689098,7.213563,32.405431,0.805098,6.518717,0.733946,0.338875,0.164403,0.074283,,
137,13000633127,0.131362,,,,,,,,,,,
138,13000714837,0.111394,32.477162,6.745913,32.255006,0.747014,5.471286,1.01019,0.354591,0.152113,0.072366,,
139,13043302921,0.110466,12.282845,6.92869,32.554654,0.760309,5.364512,0.651746,0.432429,0.166059,0.073218,,
140,13085872327,0.088065,21.079012,6.803794,32.249928,0.798814,5.906067,0.737757,0.32188,0.161059,0.101176,,
141,13128697412,0.102139,28.577174,,32.644756,0.90269,5.498355,0.609876,0.314049,0.122668,0.106029,,
142,13139441119,0.07429,34.978208,7.354547,31.808288,0.792913,,,,,,,
143,13177575794,0.077759,,7.029647,,,5.533474,0.554539,0.293688,0.120969,0.141482,,
144,13214240033,0.119847,42.289357,6.967228,32.626896,0.941631,5.448033,0.636689,0.282115,0.141216,0.071991,,
145,13256961693,0.086515,23.473869,7.706722,32.270946,0.740798,5.947414,0.6282,0.289994,0.123674,0.069884,,
146,13299631970,0.11567,31.402107,,31.494999,0.739481,5.599918,0.738081,,,,,
147,13307746125,0.088772,,6.822931,32.418592,0.885098,,,1.036675,0.177326,0.112081,,
148,13345496893,0.076395,38.036142,6.780984,,,5.412947,0.622457,0.2661,0.169575,0.088739,,
149,13384637117,0.114334,15.976993,7.003605,32.35924,0.771074,5.974775,1.133846,0.431436,0.15175,0.072577,,
150,13427416028,0.115322,24.749433,6.878614,32.291871,0.803765,5.497036,0.599404,0.257725,0.122482,0.069044,,
151,13469938046,0.116577,33.830725,,32.377042,0.865551,6.06803,,,,,,
152,13478156601,0.096276,,,,,,1.284974,0.279658,0.137331,0.070305,,
153,13479200290,,,,,,,,,0.106942,0.098045,,
154,13479861252,0.078124,38.639143,6.904328,32.295076,0.74722,6.084301,0.62958,0.366902,0.132191,0.092646,,
155,13520812320,0.086424,18.033973,7.240008,32.044864,0.76288,5.719353,0.61366,0.372189,0.176882,0.093595,,
156,13563182167,0.104157,26.502254,6.802788,32.113745,0.765574,5.56139,0.745886,0.330822,0.135596,0.10357,,
157,13605590185,0.084783,,6.790177,32.099139,0.781781,,,,0.125263,0.102841,,
158,13643621536,0.074859,35.084793,6.962198,,,5.781617,0.703416,0.378982,0.160368,0.073031,,
159,13683219586,0.076977,42.561585,7.595586,32.635852,0.696059,5.598442,0.613971,0.344286,0.156996,0.070909,,
160,13726190740,0.123627,14.856596,6.844181,32.26381,0.873884,6.187299,0.659222,0.303059,0.162289,0.100575,,
161,13769744280,0.085693,29.38777,,32.561847,0.78192,5.928159,,,,,,
162,13777205299,0.069379,,6.977576,,,,0.75094,0.60239,0.167403,0.100142,,
163,13812675035,0.074454,38.631608,6.734983,32.677027,0.725594,5.795191,0.629839,0.353646,0.159889,0.074275,,
164,13854830589,0.116277,10.956979,6.904751,32.158887,0.812522,6.001572,0.617838,0.350334,0.165632,0.074652,,
165,13897549861,0.120973,17.260432,6.8989,32.080335,0.77656,5.959483,0.738185,0.375506,0.157849,0.071417,,
166,13939827588,0.085804,30.655544,,32.042147,0.791305,5.721793,,,,,,
167,13947167099,0.035879,,6.873576,,,,0.826413,0.358992,0.16589,0.073409,,
168,13982490339,0.086371,39.206489,6.941266,32.449261,0.795291,5.750665,0.628305,0.595795,0.200227,0.072678,,
169,14025230235,0.077419,13.138406,7.235374,32.493905,0.77165,5.761,0.624434,0.35702,0.596611,0.181261,,
170,14067775867,0.128049,19.62701,6.841635,31.889734,0.778053,5.971078,1.11551,0.396746,0.125739,0.070132,,
171,14110049976,0.118619,31.884261,,32.097932,0.741277,,,,,,,
172,14116516219,0.112182,,6.88984,,,5.724966,0.546743,0.408815,0.164206,0.073068,,
173,14152674447,0.086795,40.885133,6.838562,32.51165,0.789991,5.813477,1.038154,0.484142,0.164954,0.074415,,
174,14195283619,0.07447,15.263824,7.033871,32.44895,0.901456,5.847205,0.623771,0.457694,0.175132,0.075,,
175,14238659752,0.132061,22.42318,6.870501,32.755651,0.782723,5.738108,0.595983,0.395583,0.171315,0.070592,,
176,14281354894,0.117191,,,32.524175,0.800053,,,,,,,
177,14284680329,0.110261,29.147498,6.965971,,,5.770245,0.616721,0.376481,0.157629,0.071714,,
178,14323403407,0.115684,8.982984,7.10701,31.757107,0.750108,5.946003,0.620355,0.456606,0.161063,0.073821,,
179,14366196682,0.116623,17.860303,6.927807,32.308378,0.802973,5.842701,0.739101,0.381752,0.160364,0.07108,,
180,14408891207,0.076968,24.792617,7.147472,32.512924,0.782354,5.91148,0.612514,0.378353,0.168684,0.102603,,
181,14451388317,0.075003,,,31.959338,0.804199,,,,,,,
182,14454700715,0.107114,31.113971,6.884363,,,5.938125,0.669394,0.863238,0.268846,0.105211,,
