Frame,ts,capsfilter0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,pay0
0,587020239,0.07271,4.947224,16.18031,0.229692,,
1,624279742,0.094737,1.886337,9.239446,0.852588,,
2,661789084,0.121757,3.131375,12.325659,0.266914,,
3,689187472,0.112977,2.092184,10.937727,0.218319,,
4,722707156,0.119275,2.280609,11.617934,0.216793,,
5,757723715,0.127339,3.066562,13.213011,0.233643,,
6,793183353,0.11743,2.492316,13.398592,0.270699,,
7,828913260,0.111186,2.340173,12.312155,0.22703,,
8,856231792,0.12493,2.412013,12.442348,0.229789,,
9,889928781,0.131546,2.759562,14.02164,0.231301,,
10,925166022,0.115107,2.490556,13.193837,0.229183,,
11,962526128,0.197958,3.668822,13.117954,0.229857,,
12,1010760982,0.764417,21.543626,88.409684,1.729704,,
13,1144564923,0.712225,12.482039,67.147507,1.438915,,
14,1256019842,0.584713,11.581637,67.581882,4.261332,,
15,1372774580,0.788533,12.417331,75.322807,0.772939,,
16,1491889876,0.587513,11.105352,65.796555,1.734971,,
17,1602650899,0.925816,12.44588,66.459029,1.682776,,
18,1714183315,0.924307,12.297388,65.83936,1.080667,,
19,1823612424,0.707256,11.021151,66.454879,1.462984,,
20,1934060828,1.156429,12.021276,68.030745,1.466225,,
21,2046424815,0.758481,11.96617,66.246315,1.51635,,
22,2156457866,0.631672,11.156616,67.236109,1.420587,,
23,2289886911,1.443873,21.13404,91.153874,0.819555,,
24,2424442986,0.619017,11.139831,65.639417,1.403475,,
25,2534694404,1.1643,12.021224,65.285031,1.550106,,
26,2644601567,0.729236,12.492288,66.035611,1.350318,,
27,2753107146,1.199249,10.682551,66.970737,1.407821,,
28,2864140224,0.631257,11.979099,66.855342,1.372428,,
29,2975082923,0.660604,12.208799,67.588833,1.34294,,
30,3087368093,0.728648,11.001962,66.113719,1.770359,,
31,3197456696,0.755783,12.346178,66.094326,1.396206,,
32,3308503224,0.623098,13.687802,72.876921,0.876659,,
33,3425238871,0.858202,11.027493,66.273699,1.367123,,
34,3535644528,0.989525,12.151798,67.386037,1.439542,,
35,3647522181,0.716644,12.272379,65.860473,1.119638,,
36,3755481875,0.79175,11.258124,65.826927,1.722909,,
37,3867031828,0.919723,12.249792,88.527282,2.778057,,
38,4004374511,0.730424,12.966409,58.209173,0.753745,,
39,4088348767,0.59241,7.153218,34.618766,0.722236,,
40,4147850771,0.363695,7.143807,35.126492,0.73302,,
41,4208351320,0.372866,7.243769,34.644076,0.895381,,
42,4268173777,0.358328,7.142826,34.407778,0.696397,,
43,4328547362,0.529227,7.133626,34.617169,0.746355,,
44,4392749817,0.443483,7.031054,34.484686,0.905144,,
45,4961645006,0.371503,9.447062,37.128601,0.735772,,
46,5034866157,0.36957,7.015386,43.669359,0.679031,4616.132833,0.839114
47,5245969203,0.219871,8.131398,30.907811,0.811379,4558.740326,0.715097
48,5301517482,0.172503,6.72081,31.146418,0.815318,,0.4825
49,5355581053,0.164131,6.829162,30.482521,0.799009,,0.496916
50,5526278285,0.186558,14.239263,36.298783,0.827526,,0.507985
51,5590554745,0.198092,10.925735,31.199505,0.8592,4909.830357,0.795192
52,5787702990,0.187391,6.863346,30.621109,0.811562,,0.46839
53,5900868650,0.207541,6.945706,35.119733,0.83227,,0.505928
54,6076428715,0.22545,6.68089,30.487765,0.784803,,0.460757
55,6127863310,0.177414,7.105797,30.559042,0.82133,5167.930303,0.705638
56,6277473554,0.185258,6.767107,35.590447,0.76665,,0.485412
57,6338465300,0.184491,6.86612,34.754499,0.766845,,0.44945
58,6722458234,0.181517,6.909222,31.660645,0.806067,,0.481109
59,6775040421,0.196965,6.751809,30.731888,1.054538,5267.471482,0.72949
60,6836409859,0.181651,7.531805,30.721595,0.736825,,0.495057
61,6961979638,0.19787,6.753289,35.239617,0.863767,,0.527591
62,7061872834,0.18352,14.737134,54.684112,0.944958,,0.465234
63,7316496609,0.218788,12.294101,35.697233,0.784596,5412.685858,0.679905
64,7433856487,0.198627,15.592524,35.476712,0.830372,,0.502916
