Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,queue1,pay0
0,526062868,0.049135,1.476929,30.567952,,,,,
1,592862776,0.079825,,,,,,,
2,619318649,0.082948,,,61.2109,0.214979,,,
3,627032852,0.038752,65.153072,1.937894,9.936505,0.244478,,,
4,647266592,0.088495,51.872845,2.530971,9.570999,0.204756,,,
5,665643826,,36.786582,1.953831,9.487952,0.20159,,,
6,683082091,0.077011,21.725255,1.953401,9.306571,0.206767,,,
7,700548234,0.100115,0.763448,1.945632,9.292897,0.210835,,,
8,728273254,0.101338,0.227085,1.821609,11.8369,0.217554,,,
9,761686221,0.123574,0.227361,1.895804,9.345247,0.20704,,,
10,795030488,0.082699,0.259763,1.861329,9.265159,0.24233,,,
11,828162625,0.099867,0.222034,1.863347,20.505965,0.215893,,,
12,861685197,0.07505,0.228956,1.891184,9.79898,0.206208,,,
13,926119395,0.083298,22.599057,16.12204,,,,,
14,1011212851,0.079717,,,74.353948,1.707952,,,
15,1056030759,0.069514,129.911364,12.837768,66.690593,1.738892,,,
16,1175431764,0.06995,213.567995,10.994441,68.608453,1.412172,,,
17,1294280846,0.067727,238.086766,12.595981,67.254674,1.510056,,,
18,1412320644,0.12392,236.608128,11.191051,65.55109,1.696461,,,
19,1527014867,0.06992,232.531638,12.572054,66.479167,1.383804,,,
20,1646093494,0.069139,233.445207,11.259756,68.436275,1.378218,,,
21,1765384181,0.069621,238.168948,12.795112,67.037082,1.637177,,,
22,1883822243,0.067327,237.588409,11.380534,66.939803,1.680748,,,
23,2002018224,0.070124,236.276078,12.387901,67.474846,1.417039,,,
24,2131560880,0.0679,247.522133,12.590679,67.068102,1.746069,,,
25,2250997783,0.070197,248.707083,12.067175,66.257933,1.951695,,,
26,2368622057,0.068688,236.827734,12.99437,67.607388,1.484436,,,
27,2487301168,0.069418,236.162702,12.492154,65.862699,1.745515,,,
28,2604514480,0.069105,235.638094,12.256588,67.183105,0.782677,,,
29,2721967848,0.070364,234.40973,12.221043,67.098539,1.756345,,,
30,2842907137,0.070001,238.217816,12.018457,66.929525,1.471295,,,
